id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|productos_descripcion|productos_cantidad_presentacion|productos_unidad_medida_presentacion|productos_marca|productos_precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
3|1|3|7791813434412|1|7UP FREE PET X 1.5L|1.00|unidad| |5200.00|5200.00|1|unidad||||
3|1|3|0000000023897|0|AFEITADORA BIC COMFORT  3|1.00|unidad| |820.00|820.00|1|unidad||||
3|1|3|7790580109882|1|AGUILA EXTRAFINO 60% CACAO X 150 GR|1.00|unidad| |16100.00|16100.00|1|unidad||||
3|1|3|7790040133594|1|AGUILA MINITORTA BROWNIE X 72G|1.00|unidad| |3100.00|3100.00|1|unidad||||
3|1|3|7790040298705|1|AGUILA MINITORTA DDLECHE/MOUSSE SAB.VAINILLA X 72G|1.00|unidad| |3100.00|3100.00|1|unidad||||
3|1|3|0000000023956|0|ALFAJOR CHOCOLATE|1.00|unidad| |2350.00|2350.00|1|unidad||||
3|1|3|0000000023280|0|ALFAJORES DE MAICENA|1.00|unidad| |2350.00|2350.00|1|unidad||||
3|1|3|7790580607418|1|ARCOR CHOCOLATE BLANCO TABLETA X 25 GR|1.00|unidad| |2500.00|2500.00|1|unidad||||
3|1|3|7790580607210|1|ARCOR CHOCOLATE CON LECHE TABLETA X 25GR|1.00|unidad| |2500.00|2500.00|1|unidad||||
3|1|3|0000000001339|0|ARCOR OBLEA RELLENA C/PASTA DE TURRON Y MANI X 25G|1.00|unidad| |700.00|700.00|1|unidad||||
3|1|3|7793360294600|1|BC JUGO MANZANA TETRA X 200CC|1.00|unidad| |1300.00|1300.00|1|unidad||||
3|1|3|7793360246609|1|BC JUGO NARANJA TETRA X 200CC.|1.00|unidad| |1300.00|1300.00|1|unidad||||
3|1|3|7790580154264|1|BEB MULTIFRUTA BC 24X200ML|1.00|unidad| |1300.00|1300.00|1|unidad||||
3|1|3|7792730020559|1|BIZNIKKE NEVADO CHOCOLATE TABLETA X 120 GR.|1.00|unidad| |9200.00|9200.00|1|unidad||||
3|1|3|7790580722708|1|BOMBON TOFI LECHE X 15G|1.00|unidad| |2100.00|2100.00|1|unidad||||
3|1|3|7790040613607|1|Bon O Bon Alfajor Chocolate Blanco x40 gr|1.00|unidad| |2100.00|2100.00|1|unidad||||
3|1|3|7790040613706|1|BON O BON ALFAJOR CHOCOLATE NEGRO/LECHE X 40G|1.00|unidad| |2100.00|2100.00|1|unidad||||
3|1|3|0000000021586|0|BON-O-BON BOMBON AGUILA X 15G|1.00|unidad| |1100.00|1100.00|1|unidad||||
3|1|3|7790580119058|1|BON-O-BON BOMBON CHOCOLATE BLANCO X 15G|1.00|unidad| |1100.00|1100.00|1|unidad||||
3|1|3|0000000021587|0|BON-O-BON BOMBON CHOCOLINA X 15G|1.00|unidad| |1100.00|1100.00|1|unidad||||
3|1|3|7792360072409|1|BONAFIDE BOCADITO DDL X 16G|1.00|unidad| |1800.00|1800.00|1|unidad||||
3|1|3|0000000021151|0|BROWNIE ARTESANAL|1.00|unidad| |5850.00|5850.00|1|unidad||||
3|1|3|0000000023273|0|BUDIN BANANA Y DDL|1.00|unidad| |5300.00|5300.00|1|unidad||||
3|1|3|0000000021701|0|BUDIN DE FRUTOS SECOS|1.00|unidad| |5300.00|5300.00|1|unidad||||
3|1|3|0000000021700|0|BUDIN DE LIMON Y ARANDANOS|1.00|unidad| |5300.00|5300.00|1|unidad||||
3|1|3|7790407022011|1|CABSHA BOCADITO X 10G|1.00|unidad| |1000.00|1000.00|1|unidad||||
3|1|3|7798128000271|1|CACHAFAZ ALFAJOR MOUSSE X 50G|1.00|unidad| |3400.00|3400.00|1|unidad||||
3|1|3|7622201818739|1|CADBURY CHOCOLATE C/LECHE TRES SUEÑOS X 82G|1.00|unidad| |8200.00|8200.00|1|unidad||||
3|1|3|7622201818654|1|CADBURY CHOCOLATE RELLENO YOGHURT FRUTILLA X 29G|1.00|unidad| |3500.00|3500.00|1|unidad||||
3|1|3|7622202271250|1|Caram. Halls 12u Strong Nvo|1.00|unidad| |1350.00|1350.00|1|unidad||||
3|1|3|7622202247286|1|Caram. Halls Cherry Nvo 28 Grs|1.00|unidad| |1350.00|1350.00|1|unidad||||
3|1|3|7790895649301|1|CEPITA 20% NARANJA 200ML|1.00|unidad| |2200.00|2200.00|1|unidad||||
3|1|3|7790895009853|1|CEPITA JUGO MANZANA BOTELLA X 1L|1.00|unidad| |6100.00|6100.00|1|unidad||||
3|1|3|7790895000720|1|CEPITA JUGO MANZANA TETRA X 200CC.|1.00|unidad| |2200.00|2200.00|1|unidad||||
3|1|3|7790895647017|1|CEPITA JUGO MANZANA ZINC TETRA X 1 LT.|1.00|unidad| |4450.00|4450.00|1|unidad||||
3|1|3|7790895000737|1|CEPITA JUGO MULTIFRUTA TETRA X 200CC|1.00|unidad| |2200.00|2200.00|1|unidad||||
3|1|3|7790895647123|1|CEPITA JUGO MULTIFRUTA ZINC TETRA X 1 LT.|1.00|unidad| |4450.00|4450.00|1|unidad||||
3|1|3|7790895648267|1|CEPITA NARANJA 20% 1L|1.00|unidad| |4450.00|4450.00|1|unidad||||
3|1|3|7790895009815|1|CEPITA NARANJA 995CC|1.00|unidad| |6100.00|6100.00|1|unidad||||
3|1|3|0000000022630|0|CEREAL MIX BARRA DE CEREAL C/FRUTILLA&YOGHURT X26G|1.00|unidad| |2000.00|2000.00|1|unidad||||
3|1|3|0000000001341|0|CEREAL MIX BARRA DE CEREAL X 23G|1.00|unidad| |2000.00|2000.00|1|unidad||||
3|1|3|0000000022631|0|CEREAL MIX BARRA DE CEREAL YOGH/FRUTIL.L.X26g|1.00|unidad| |2000.00|2000.00|1|unidad||||
3|1|3|7790580123345|1|CH. TL7 MENTHOL 20X16X14G|1.00|unidad| |2300.00|2300.00|1|unidad||||
3|1|3|0000000019822|0|CH. TL7 VIBR. STRAW. 20X16X14G|1.00|unidad| |2300.00|2300.00|1|unidad||||
3|1|3|7790580104252|1|CH. TL7 VIOL. CHERRY 20X16X14G|1.00|unidad| |2300.00|2300.00|1|unidad||||
3|1|3|7790580317607|1|CH. TL7 XPLOS. MINT 20X16X14G|1.00|unidad| |2300.00|2300.00|1|unidad||||
3|1|3|8445290701961|1|Choc Bananita Dolca 30 grs|1.00|unidad| |2400.00|2400.00|1|unidad||||
3|1|3|8445290701596|1|Choc. Bananita Dolca 14grs|1.00|unidad| |1400.00|1400.00|1|unidad||||
